Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,MonthlyIncome,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceRatio,PromotionGap,IncomePerLevel,CompanySwitchRate,RoleStability,PromotionDelay,LowIncomeFlag,Feedback,Sentiment,Attrition_Risk,Risk_Score,Risk_Level,Productivity_Risk_Score,Productivity_Risk_Level,Attrition_Risk_%,AgeGroup
15,41,0,Travel Rarely,Network Administration,36,Below College,4,Male,166965,1,7,Manager,3,Married,6,No,92,7,4,4,8,3,0.5,1,23852.14286,0.857142857,2,4,0,Good work life balance,0.7,0.1263849,12.63848995,Low Risk,66.93620411,Medium,12.63848995,40-50
16,20,1,No Travel,Cyber Security,41,Degree,1,Female,94275,2,3,Director,4,Divorced,1,No,62,20,1,0,4,6,0,-6,31425,0.05,inf,14,0,Salary is low,0,0.896868373,89.68683731,High Risk,59.944736,Medium,89.68683731,18-30
17,39,0,Travel Rarely,Data Science,48,Master's,5,Female,140423,4,6,Director,4,Single,6,No,80,0,3,3,10,3,3,0,23403.83333,inf,3.333333333,-3,0,I am happy with my team,0.8,0.02592093,2.592092987,Low Risk,21.04566347,Low,2.592092987,30-40
18,19,0,No Travel,IT Services,12,Below College,2,Female,91411,5,3,Help Desk,3,Single,5,Yes,50,9,4,5,8,0,0.5,5,30470.33333,0.555555556,1.6,9,0,I am happy with my team,0.8,0.007575387,0.757538735,Low Risk,17.78074213,Low,0.757538735,18-30
19,41,0,Travel Rarely,Software Development,20,Graduation,2,Male,66389,3,8,Consultant,4,Single,7,Yes,21,3,3,4,1,1,1,3,8298.625,2.333333333,0.25,2,0,Supportive management,0.5,0.050211178,5.021117805,Low Risk,33.23902079,Medium,5.021117805,40-50
20,61,0,Travel Rarely,Network Administration,39,Graduation,5,Female,108525,3,2,Support,2,Single,6,No,56,7,2,10,9,8,1.25,2,54262.5,0.857142857,0.9,-1,0,Career growth is good,0.7,0.332139739,33.21397389,Medium Risk,55.86128951,Medium,33.21397389,
21,47,0,No Travel,Data Science,44,Graduation,5,Male,140338,4,6,Support,5,Divorced,6,No,7,17,1,7,0,2,0.388888889,5,23389.66667,0.352941176,0,15,0,Career growth is good,0.7,0.025276862,2.52768616,Low Risk,12.21076815,Low,2.52768616,40-50
22,55,0,Travel Rarely,Software Development,8,Master's,1,Male,62779,4,8,IT,3,Divorced,5,Yes,93,20,4,0,4,1,0,-1,7847.375,0.25,inf,19,0,Supportive management,0.5,0.091445102,9.144510205,Low Risk,31.0255018,Medium,9.144510205,50-60
23,19,1,Travel Frequently,Network Administration,47,Master's,1,Female,165339,3,5,Manager,5,Married,0,No,42,8,4,0,7,3,0,-3,33067.8,0,inf,5,0,High stress workload,0.16,0.288674145,28.86741454,Low Risk,28.62366139,Low,28.86741454,18-30
24,38,0,Travel Frequently,Network Administration,2,Master's,2,Male,66366,2,1,Support,3,Divorced,5,Yes,55,13,3,9,4,1,0.642857143,8,66366,0.384615385,0.444444444,12,0,Career growth is good,0.7,0.061933983,6.193398282,Low Risk,54.03412911,Medium,6.193398282,30-40
25,50,0,Travel Rarely,Network Administration,11,Degree,4,Male,180901,1,1,Technician,5,Married,6,Yes,20,17,4,9,9,5,0.5,4,180901,0.352941176,1,12,0,I am happy with my team,0.8,0.070682157,7.068215698,Low Risk,48.30615571,Medium,7.068215698,40-50
26,29,0,Travel Frequently,Cyber Security,21,Degree,5,Male,129422,2,6,Director,1,Divorced,1,No,6,18,5,5,8,8,0.263157895,-3,21570.33333,0.055555556,1.6,10,0,I am happy with my team,0.8,0.066363115,6.636311543,Low Risk,71.7593491,High,6.636311543,18-30
27,39,0,No Travel,IT Services,37,Graduation,1,Male,142884,3,3,Technician,3,Divorced,2,Yes,19,8,3,1,0,1,0.111111111,0,47628,0.25,0,7,0,Career growth is good,0.7,0.080473059,8.047305888,Low Risk,42.59658339,Medium,8.047305888,30-40
28,61,0,Travel Rarely,Network Administration,6,Degree,1,Female,32004,5,8,Help Desk,4,Divorced,10,Yes,63,17,3,3,7,6,0.166666667,-3,4000.5,0.588235294,2.333333333,11,0,I am happy with my team,0.8,0.286091214,28.60912141,Low Risk,13.8721979,Low,28.60912141,
29,42,0,Travel Frequently,Cyber Security,19,Degree,1,Female,87681,5,3,HR,5,Married,6,Yes,12,1,2,1,9,8,0.5,-7,29227,6,9,-7,0,Supportive management,0.5,0.363412424,36.34124236,Medium Risk,6.413160416,Low,36.34124236,40-50
30,44,0,Travel Frequently,Network Administration,30,PhD,4,Male,189663,1,4,IT,1,Married,6,No,99,9,5,3,9,6,0.3,-3,47415.75,0.666666667,3,3,0,Career growth is good,0.7,0.298246972,29.82469715,Low Risk,87.61612303,High,29.82469715,40-50
31,59,1,Travel Rarely,Network Administration,46,PhD,2,Female,126982,1,1,Help Desk,1,Divorced,10,Yes,72,4,1,8,7,8,1.6,0,126982,2.5,0.875,-4,0,Salary is low,0,0.993219441,99.32194405,High Risk,99.88034307,High,99.32194405,50-60
32,45,0,Travel Rarely,Cyber Security,39,PhD,2,Male,133970,3,1,Manager,1,Divorced,0,No,13,11,2,0,6,1,0,-1,133970,0,inf,10,0,I am happy with my team,0.8,0.190389151,19.03891508,Low Risk,62.18333796,Medium,19.03891508,40-50
33,33,0,Travel Rarely,IT Services,44,Graduation,1,Male,102145,3,5,QA Analyst,4,Single,1,No,15,13,1,1,10,1,0.071428571,0,20429,0.076923077,10,12,0,Career growth is good,0.7,0.43353954,43.35395396,Medium Risk,40.00363893,Medium,43.35395396,30-40
34,32,0,Travel Frequently,Software Development,49,Graduation,4,Male,154938,1,4,IT,1,Married,10,No,46,7,2,2,2,1,0.25,1,38734.5,1.428571429,1,6,0,Supportive management,0.5,0.416363876,41.63638764,Medium Risk,89.700539,High,41.63638764,30-40
35,61,0,No Travel,Data Science,36,Master's,4,Female,190534,5,2,Help Desk,5,Married,8,No,15,5,1,3,7,8,0.5,-5,95267,1.6,2.333333333,-3,0,Supportive management,0.5,0.194522898,19.45228982,Low Risk,3.432757027,Low,19.45228982,
36,20,0,Travel Frequently,Network Administration,20,Master's,2,Male,158080,4,8,Software Engineer,4,Divorced,6,Yes,14,0,5,7,5,2,7,5,19760,inf,0.714285714,-2,0,Good work life balance,0.7,0.006196089,0.61960886,Low Risk,20.69757803,Low,0.61960886,18-30
37,54,0,Travel Rarely,IT Services,10,Master's,5,Male,41845,4,2,Software Engineer,3,Married,2,No,66,18,4,8,2,2,0.421052632,6,20922.5,0.111111111,0.25,16,0,I am happy with my team,0.8,0.002249643,0.224964333,Low Risk,29.45146429,Low,0.224964333,50-60
38,24,1,Travel Rarely,Data Science,24,Graduation,1,Female,135431,4,5,QA Analyst,4,Divorced,6,No,4,9,1,10,9,5,1,5,27086.2,0.666666667,0.9,4,0,Salary is low,0,0.624977563,62.49775626,Medium Risk,31.61725111,Medium,62.49775626,18-30
39,38,0,No Travel,Network Administration,33,Master's,4,Female,114337,5,2,Technician,3,Single,7,No,4,0,3,1,2,6,1,-5,57168.5,inf,2,-6,0,I am happy with my team,0.8,0.017475797,1.74757969,Low Risk,17.95545524,Low,1.74757969,30-40
40,26,0,Travel Rarely,Data Science,29,Degree,5,Male,181516,2,1,Technician,3,Divorced,7,No,44,11,3,2,1,2,0.166666667,0,181516,0.636363636,0.5,9,0,Supportive management,0.5,0.026220374,2.622037449,Low Risk,53.40388896,Medium,2.622037449,18-30
41,56,1,No Travel,Cyber Security,30,Degree,3,Female,82219,2,3,Manager,3,Divorced,1,Yes,88,4,1,5,2,8,1,-3,27406.33333,0.25,0.4,-4,0,High stress workload,0.16,0.747740238,74.77402381,High Risk,66.13659244,Medium,74.77402381,50-60
42,35,0,Travel Frequently,IT Services,36,Master's,1,Male,144163,5,4,Director,3,Single,3,Yes,99,11,1,1,7,2,0.083333333,-1,36040.75,0.272727273,7,9,0,Supportive management,0.5,0.388538132,38.85381324,Medium Risk,24.5036141,Low,38.85381324,30-40
43,21,0,Travel Rarely,IT Services,45,Graduation,3,Male,31691,2,2,QA Analyst,4,Divorced,8,No,90,3,4,2,3,1,0.5,1,15845.5,2.666666667,1.5,2,0,I am happy with my team,0.8,0.046101174,4.610117378,Low Risk,44.93119718,Medium,4.610117378,18-30
44,42,0,Travel Rarely,Software Development,6,Degree,2,Male,46271,4,2,Manager,2,Married,10,No,90,16,5,9,2,6,0.529411765,3,23135.5,0.625,0.222222222,10,0,Career growth is good,0.7,0.061358211,6.135821101,Low Risk,39.31808608,Medium,6.135821101,40-50
45,31,0,Travel Rarely,Software Development,47,Degree,2,Male,103154,5,2,Technician,2,Divorced,4,No,89,0,3,6,6,7,6,-1,51577,inf,1,-7,0,I am happy with my team,0.8,0.14190298,14.19029795,Low Risk,28.97475846,Low,14.19029795,30-40
46,26,1,Travel Frequently,Data Science,14,Degree,2,Male,197241,1,2,Director,1,Married,8,No,13,11,5,10,5,6,0.833333333,4,98620.5,0.727272727,0.5,5,0,No promotion opportunities,0,0.585863186,58.58631861,Medium Risk,92.69170328,High,58.58631861,18-30
47,43,0,No Travel,Cyber Security,3,Below College,4,Female,104392,5,3,Director,5,Single,4,Yes,64,13,3,3,6,4,0.214285714,-1,34797.33333,0.307692308,2,9,0,I am happy with my team,0.8,0.004934003,0.493400262,Low Risk,0.087070635,Low,0.493400262,40-50
48,19,0,Travel Frequently,Data Science,24,Degree,4,Female,195358,3,3,Support,5,Married,0,No,89,1,1,4,3,6,2,-2,65119.33333,0,0.75,-5,0,Good work life balance,0.7,0.025907497,2.590749731,Low Risk,23.98660289,Low,2.590749731,18-30
49,37,0,Travel Rarely,Network Administration,19,Degree,5,Male,93791,4,6,Software Engineer,5,Divorced,4,No,43,16,4,4,3,8,0.235294118,-4,15631.83333,0.25,0.75,8,0,I am happy with my team,0.8,0.009009656,0.900965645,Low Risk,11.92369982,Low,0.900965645,30-40
50,45,0,Travel Rarely,IT Services,38,Degree,3,Male,155270,4,7,Help Desk,1,Single,3,No,35,20,4,3,2,2,0.142857143,1,22181.42857,0.15,0.666666667,18,0,I am happy with my team,0.8,0.045716881,4.571688074,Low Risk,47.86559201,Medium,4.571688074,40-50
51,24,1,Travel Frequently,Data Science,34,Master's,2,Female,163297,3,5,Developer,5,Single,10,No,17,8,2,5,8,2,0.555555556,3,32659.4,1.25,1.6,6,0,Salary is low,0,0.479271143,47.92711429,Medium Risk,31.98713782,Medium,47.92711429,18-30
52,61,0,Travel Rarely,Data Science,9,Graduation,2,Male,113913,4,7,Help Desk,4,Married,0,No,86,4,5,2,1,4,0.4,-2,16273.28571,0,0.5,0,0,Supportive management,0.5,0.010710295,1.071029513,Low Risk,20.7772405,Low,1.071029513,
53,25,0,Travel Frequently,IT Services,30,Master's,4,Male,92794,3,8,Consultant,2,Married,3,No,71,8,1,8,10,8,0.888888889,0,11599.25,0.375,1.25,0,0,Supportive management,0.5,0.565005532,56.50055324,Medium Risk,59.97068587,Medium,56.50055324,18-30
54,52,0,Travel Rarely,IT Services,32,Degree,4,Male,47669,3,8,Manager,3,Married,2,No,49,13,5,6,3,1,0.428571429,5,5958.625,0.153846154,0.5,12,0,Career growth is good,0.7,0.01263278,1.263278048,Low Risk,41.39940201,Medium,1.263278048,50-60
55,31,0,Travel Rarely,Software Development,13,Degree,4,Female,128690,4,1,HR,5,Single,6,No,92,8,2,4,2,8,0.444444444,-4,128690,0.75,0.5,0,0,I am happy with my team,0.8,0.029139074,2.913907353,Low Risk,12.27892483,Low,2.913907353,30-40
56,34,0,Travel Rarely,Software Development,18,Below College,1,Male,96789,5,2,Consultant,1,Married,8,Yes,43,2,1,5,3,6,1.666666667,-1,48394.5,4,0.6,-4,0,Supportive management,0.5,0.361126479,36.11264785,Medium Risk,41.66693786,Medium,36.11264785,30-40
57,53,0,Travel Rarely,IT Services,44,Graduation,3,Male,89978,3,5,IT,1,Divorced,1,No,57,17,2,6,6,0,0.333333333,6,17995.6,0.058823529,1,17,0,I am happy with my team,0.8,0.183749368,18.37493679,Low Risk,62.06616532,Medium,18.37493679,50-60
58,57,0,Travel Frequently,Data Science,22,Master's,3,Male,199660,1,1,Director,4,Single,3,No,83,11,3,5,2,3,0.416666667,2,199660,0.272727273,0.4,8,0,I am happy with my team,0.8,0.1352199,13.52198999,Low Risk,58.26858647,Medium,13.52198999,50-60
59,21,0,Travel Rarely,Network Administration,4,Below College,1,Male,154015,3,3,Developer,3,Divorced,9,No,80,20,5,5,4,0,0.238095238,5,51338.33333,0.45,0.8,20,0,Good work life balance,0.7,0.020780212,2.078021165,Low Risk,41.54318021,Medium,2.078021165,18-30
60,19,0,No Travel,Data Science,23,PhD,2,Male,192154,1,2,Business Analyst,3,Married,7,No,43,2,2,0,3,0,0,0,96077,3.5,inf,2,0,Career growth is good,0.7,0.105267266,10.5267266,Low Risk,66.56353999,Medium,10.5267266,18-30
61,23,0,Travel Rarely,Network Administration,7,Graduation,5,Female,183775,5,7,Director,1,Married,8,Yes,0,13,3,0,8,0,0,0,26253.57143,0.615384615,inf,13,0,Good work life balance,0.7,0.003177353,0.317735342,Low Risk,35.35018859,Medium,0.317735342,18-30
62,59,0,Travel Rarely,IT Services,44,PhD,5,Female,136672,3,3,QA Analyst,5,Married,4,Yes,78,10,2,5,5,8,0.454545455,-3,45557.33333,0.4,1,2,0,Career growth is good,0.7,0.150407668,15.04076678,Low Risk,26.18366473,Low,15.04076678,50-60
63,21,0,Travel Rarely,Network Administration,11,Degree,2,Female,144137,3,6,HR,4,Married,7,No,70,4,5,8,9,5,1.6,3,24022.83333,1.75,1.125,-1,0,Supportive management,0.5,0.046697286,4.669728629,Low Risk,33.17701093,Medium,4.669728629,18-30
64,46,0,Travel Rarely,Software Development,39,Degree,5,Female,97287,3,2,Consultant,4,Single,5,No,77,9,5,9,1,0,0.9,9,48643.5,0.555555556,0.111111111,9,0,Supportive management,0.5,0.004447167,0.444716737,Low Risk,32.4314206,Medium,0.444716737,40-50
65,35,0,Travel Rarely,IT Services,42,Below College,4,Female,184343,1,3,Consultant,3,Divorced,1,Yes,1,13,2,10,2,6,0.714285714,4,61447.66667,0.076923077,0.2,7,0,Good work life balance,0.7,0.18354122,18.35412199,Low Risk,67.94484506,Medium,18.35412199,30-40
66,43,0,No Travel,Cyber Security,41,Graduation,3,Male,133299,5,7,Help Desk,4,Married,6,No,7,20,4,8,3,5,0.380952381,3,19042.71429,0.3,0.375,15,0,I am happy with my team,0.8,0.045979667,4.597966728,Low Risk,9.634935305,Low,4.597966728,40-50
67,61,0,Travel Rarely,Network Administration,34,Graduation,4,Female,135259,4,8,Help Desk,2,Married,10,No,91,15,5,1,8,4,0.0625,-3,16907.375,0.666666667,8,11,0,Career growth is good,0.7,0.118147999,11.8147999,Low Risk,40.32025881,Medium,11.8147999,
68,51,0,Travel Rarely,Network Administration,5,Degree,5,Male,99404,2,5,QA Analyst,3,Single,9,No,9,5,3,0,10,2,0,-2,19880.8,1.8,inf,3,0,Career growth is good,0.7,0.022896387,2.289638667,Low Risk,53.34523035,Medium,2.289638667,50-60
69,27,0,Travel Rarely,Cyber Security,42,Degree,5,Female,161353,3,5,IT,1,Married,1,Yes,8,3,2,6,4,8,1.5,-2,32270.6,0.333333333,0.666666667,-5,0,Good work life balance,0.7,0.095930652,9.593065181,Low Risk,60.51642327,Medium,9.593065181,18-30
70,53,0,Travel Rarely,Cyber Security,25,Master's,3,Female,195074,3,7,Software Engineer,4,Single,9,No,6,0,3,4,3,6,4,-2,27867.71429,inf,0.75,-6,0,Good work life balance,0.7,0.062622827,6.262282749,Low Risk,33.4580499,Medium,6.262282749,50-60
71,31,0,Travel Rarely,IT Services,28,Master's,4,Male,86446,3,3,Business Analyst,3,Divorced,6,No,48,18,3,4,2,3,0.210526316,1,28815.33333,0.333333333,0.5,15,0,Good work life balance,0.7,0.030360759,3.03607588,Low Risk,41.71224868,Medium,3.03607588,30-40
72,48,0,No Travel,Data Science,14,Degree,3,Male,108845,4,3,QA Analyst,5,Divorced,9,No,34,19,3,9,4,8,0.45,1,36281.66667,0.473684211,0.444444444,11,0,Good work life balance,0.7,0.091894199,9.18941993,Low Risk,13.38636822,Low,9.18941993,40-50
73,32,0,Travel Rarely,Cyber Security,27,Graduation,5,Male,34391,5,8,Technician,5,Single,6,No,35,18,5,1,8,0,0.052631579,1,4298.875,0.333333333,8,18,0,Career growth is good,0.7,0.002313736,0.231373555,Low Risk,0.040830627,Low,0.231373555,30-40
74,25,1,Travel Rarely,Network Administration,16,Graduation,3,Female,69525,1,7,Support,2,Divorced,0,No,71,9,2,8,2,7,0.8,1,9932.142857,0,0.25,2,0,Salary is low,0,0.544582223,54.45822231,Medium Risk,83.13968629,High,54.45822231,18-30
75,31,0,No Travel,Cyber Security,27,Master's,3,Male,125250,4,4,HR,1,Married,8,No,73,7,5,3,4,1,0.375,2,31312.5,1.142857143,1.333333333,6,0,I am happy with my team,0.8,0.017368347,1.7368347,Low Risk,47.36532377,Medium,1.7368347,30-40
76,40,0,Travel Rarely,IT Services,2,Graduation,5,Female,59325,5,7,Director,5,Divorced,9,No,54,19,2,2,3,2,0.1,0,8475,0.473684211,1.5,17,0,I am happy with my team,0.8,0.003755228,0.375522778,Low Risk,0.066268726,Low,0.375522778,30-40
77,57,0,Travel Rarely,IT Services,19,Degree,3,Female,193106,2,2,Consultant,3,Single,9,No,1,2,2,10,4,0,3.333333333,10,96553,4.5,0.4,2,0,Good work life balance,0.7,0.046562308,4.656230841,Low Risk,53.76286427,Medium,4.656230841,50-60
78,38,0,Travel Rarely,Network Administration,23,Below College,4,Male,114817,5,4,Business Analyst,4,Divorced,8,No,22,15,3,3,6,7,0.1875,-4,28704.25,0.533333333,2,8,0,I am happy with my team,0.8,0.031764627,3.176462672,Low Risk,9.384081648,Low,3.176462672,30-40
79,33,0,Travel Rarely,Network Administration,41,Graduation,5,Male,99467,5,7,Manager,5,Divorced,5,Yes,83,20,4,2,5,2,0.095238095,0,14209.57143,0.25,2.5,18,0,Supportive management,0.5,0.008965731,0.896573131,Low Risk,0.158218788,Low,0.896573131,30-40
80,62,1,Travel Rarely,Network Administration,14,Degree,3,Female,59842,1,3,Software Engineer,5,Divorced,6,No,86,4,4,6,4,4,1.2,2,19947.33333,1.5,0.666666667,0,0,Poor management support,-0.4,0.275415228,27.54152283,Low Risk,51.91909226,Medium,27.54152283,
81,35,0,No Travel,Data Science,47,Degree,2,Female,100744,5,5,Manager,2,Single,2,No,85,7,1,5,3,8,0.625,-3,20148.8,0.285714286,0.6,-1,0,I am happy with my team,0.8,0.463592261,46.3592261,Medium Risk,34.65162813,Medium,46.3592261,30-40
82,41,0,No Travel,Network Administration,26,Degree,4,Male,153726,5,2,Director,4,Divorced,10,Yes,84,16,1,8,9,4,0.470588235,4,76863,0.625,1.125,12,0,Supportive management,0.5,0.14837933,14.83793299,Low Risk,11.44198817,Low,14.83793299,40-50
83,43,0,Travel Frequently,IT Services,8,Degree,4,Male,72864,3,5,Consultant,4,Divorced,7,No,25,13,5,4,3,6,0.285714286,-2,14572.8,0.538461538,0.75,7,0,Good work life balance,0.7,0.016056883,1.60568827,Low Risk,32.63629793,Medium,1.60568827,40-50
84,42,0,Travel Rarely,IT Services,27,Graduation,4,Male,141490,1,3,Director,5,Married,2,No,95,18,4,7,5,4,0.368421053,3,47163.33333,0.111111111,0.714285714,14,0,Supportive management,0.5,0.059407292,5.940729247,Low Risk,48.10718751,Medium,5.940729247,40-50
85,62,0,No Travel,Cyber Security,47,Graduation,1,Female,90246,5,7,Software Engineer,4,Divorced,5,No,41,9,3,6,2,6,0.6,0,12892.28571,0.555555556,0.333333333,3,0,Supportive management,0.5,0.402037178,40.20371777,Medium Risk,15.91830314,Low,40.20371777,
86,58,0,Travel Rarely,Network Administration,40,Degree,5,Male,72732,5,7,HR,1,Married,7,Yes,22,15,1,8,6,8,0.5,0,10390.28571,0.466666667,0.75,7,0,I am happy with my team,0.8,0.337902621,33.79026206,Medium Risk,41.25710507,Medium,33.79026206,50-60
87,46,0,Travel Rarely,Data Science,28,Degree,1,Female,73659,3,4,IT,1,Divorced,1,No,77,0,5,2,4,0,2,2,18414.75,inf,2,0,0,Good work life balance,0.7,0.038881664,3.888166407,Low Risk,59.50967642,Medium,3.888166407,40-50
88,32,0,Travel Rarely,Software Development,4,Below College,3,Female,104847,1,7,Business Analyst,5,Divorced,7,No,36,15,4,1,7,7,0.0625,-6,14978.14286,0.466666667,7,8,0,Good work life balance,0.7,0.125395368,12.53953676,Low Risk,49.27168296,Medium,12.53953676,30-40
89,62,0,Travel Rarely,Cyber Security,38,Degree,5,Male,196898,2,8,IT,5,Single,4,No,29,1,3,4,5,6,2,-2,24612.25,4,1.25,-5,0,I am happy with my team,0.8,0.045864683,4.586468266,Low Risk,36.1034944,Medium,4.586468266,
90,18,0,No Travel,Data Science,11,Degree,4,Male,54757,1,7,Help Desk,1,Married,4,No,62,4,3,10,3,3,2,7,7822.428571,1,0.3,1,0,Career growth is good,0.7,0.053027102,5.302710212,Low Risk,83.28871357,High,5.302710212,
91,42,0,Travel Frequently,Network Administration,44,Below College,4,Male,102417,4,2,Business Analyst,4,Married,7,No,30,13,3,6,7,4,0.428571429,2,51208.5,0.538461538,1.166666667,9,0,I am happy with my team,0.8,0.078255593,7.825559281,Low Risk,21.96921634,Low,7.825559281,40-50
92,24,0,Travel Frequently,Data Science,24,Master's,4,Female,42480,5,6,HR,2,Divorced,1,No,72,2,4,3,1,3,1,0,7080,0.5,0.333333333,-1,0,Career growth is good,0.7,0.004577079,0.457707934,Low Risk,26.55136022,Low,0.457707934,18-30
93,26,0,Travel Frequently,Software Development,28,Degree,4,Female,180665,4,4,QA Analyst,2,Married,10,No,82,13,1,4,4,7,0.285714286,-3,45166.25,0.769230769,1,6,0,Career growth is good,0.7,0.286942659,28.69426592,Low Risk,43.2989881,Medium,28.69426592,18-30
94,41,1,Travel Frequently,Data Science,41,Graduation,3,Female,151201,4,2,Consultant,2,Single,2,No,41,6,4,7,9,2,1,5,75600.5,0.333333333,1.285714286,4,0,No promotion opportunities,0,0.193120515,19.3120515,Low Risk,41.64330321,Medium,19.3120515,40-50
95,18,0,Travel Rarely,Software Development,18,Degree,2,Female,119882,2,6,QA Analyst,4,Divorced,8,No,87,18,1,1,4,1,0.052631579,0,19980.33333,0.444444444,4,17,0,I am happy with my team,0.8,0.200468478,20.04684777,Low Risk,47.65532608,Medium,20.04684777,
96,61,0,Travel Rarely,Software Development,49,Degree,5,Female,46876,5,6,HR,2,Divorced,10,Yes,99,15,1,8,1,4,0.5,4,7812.666667,0.666666667,0.125,11,0,Career growth is good,0.7,0.212986201,21.29862012,Low Risk,30.22916826,Medium,21.29862012,
97,25,1,No Travel,Software Development,21,PhD,2,Male,172179,1,5,Technician,1,Married,8,No,54,20,4,6,9,5,0.285714286,1,34435.8,0.4,1.5,15,0,Salary is low,0,0.828119023,82.81190234,High Risk,96.9668063,High,82.81190234,18-30
